file_id,dataset_id,mip_era,activity_drs,institution_id,source_id,experiment_id,member_id,table_id,frequency,grid_label,version,nominal_resolution,variable_id,variable_long_name,variable_units,datetime_start,datetime_end,file_size,data_node,file_url,dataset_pid,tracking_id,count,decade_0_start,decade_0_end,decade_N_end,decade_N_start,keep,base_file_name,out_file_name,out_full_folder,out_path
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115.intpp_Omon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012.nc|esgf.nci.org.au,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115|esgf.nci.org.au,CMIP6,ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp245,r1i1p1f1,Omon,mon,gn,20191115,250 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,261237227,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r1i1p1f1/Omon/intpp/gn/v20191115/intpp_Omon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/1997ec1e-1ffb-3133-a4f5-efd9d1f53ab9,hdl:21.14100/5ab2f881-d384-4b73-b358-25c33a1d8eb7,1,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp245,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp245/CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.intpp_Omon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_201501-201912.nc|esgf3.dkrz.de,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710|esgf3.dkrz.de,CMIP6,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp245,r1i1p1f1,Omon,mon,gn,20190710,50 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2019-12-01T00:00:00Z,49398399,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp245/r1i1p1f1/Omon/intpp/gn/v20190710/intpp_Omon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_201501-201912.nc,hdl:21.14100/2f80bd9c-22bc-36f7-9045-09c80b4564dc,hdl:21.14100/52ed0674-02f9-4410-a35d-a628ebe7198b,18,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-HR/ssp245,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-HR/ssp245/CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.intpp_Omon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_202001-202412.nc|esgf3.dkrz.de,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710|esgf3.dkrz.de,CMIP6,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp245,r1i1p1f1,Omon,mon,gn,20190710,50 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2020-01-01T00:00:00Z,2024-12-01T00:00:00Z,49376079,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp245/r1i1p1f1/Omon/intpp/gn/v20190710/intpp_Omon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_202001-202412.nc,hdl:21.14100/2f80bd9c-22bc-36f7-9045-09c80b4564dc,hdl:21.14100/7f2538ce-966f-400e-9042-c9a51a87fb4e,18,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-HR/ssp245,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-HR/ssp245/CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.intpp_Omon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_209501-209912.nc|esgf3.dkrz.de,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710|esgf3.dkrz.de,CMIP6,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp245,r1i1p1f1,Omon,mon,gn,20190710,50 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2095-01-01T00:00:00Z,2099-12-01T00:00:00Z,49333755,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp245/r1i1p1f1/Omon/intpp/gn/v20190710/intpp_Omon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_209501-209912.nc,hdl:21.14100/2f80bd9c-22bc-36f7-9045-09c80b4564dc,hdl:21.14100/2cc3effb-6c57-40fc-aa58-f7de4a33e7f5,18,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-HR/ssp245,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-HR/ssp245/CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.intpp_Omon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_210001-210012.nc|esgf3.dkrz.de,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710|esgf3.dkrz.de,CMIP6,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp245,r1i1p1f1,Omon,mon,gn,20190710,50 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2100-01-01T00:00:00Z,2100-12-01T00:00:00Z,17828250,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp245/r1i1p1f1/Omon/intpp/gn/v20190710/intpp_Omon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_210001-210012.nc,hdl:21.14100/2f80bd9c-22bc-36f7-9045-09c80b4564dc,hdl:21.14100/bcb54c8a-3b89-4b24-8dee-ee7b041f5c67,18,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710,CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-HR/ssp245,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-HR/ssp245/CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.intpp_Omon_MPI-ESM1-2-LR_ssp245_r1i1p1f1_gn_201501-203412.nc|esgf3.dkrz.de,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710|esgf3.dkrz.de,CMIP6,ScenarioMIP,MPI-M,MPI-ESM1-2-LR,ssp245,r1i1p1f1,Omon,mon,gn,20190710,250 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2034-12-01T00:00:00Z,32308008,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r1i1p1f1/Omon/intpp/gn/v20190710/intpp_Omon_MPI-ESM1-2-LR_ssp245_r1i1p1f1_gn_201501-203412.nc,hdl:21.14100/2eb5bfb9-4c11-3bf5-b56e-ae1450224a49,hdl:21.14100/13090303-eebb-4199-b64f-b8115debe548,5,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-LR/ssp245,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-LR/ssp245/CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.intpp_Omon_MPI-ESM1-2-LR_ssp245_r1i1p1f1_gn_209501-210012.nc|esgf3.dkrz.de,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710|esgf3.dkrz.de,CMIP6,ScenarioMIP,MPI-M,MPI-ESM1-2-LR,ssp245,r1i1p1f1,Omon,mon,gn,20190710,250 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2095-01-01T00:00:00Z,2100-12-01T00:00:00Z,11242413,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r1i1p1f1/Omon/intpp/gn/v20190710/intpp_Omon_MPI-ESM1-2-LR_ssp245_r1i1p1f1_gn_209501-210012.nc,hdl:21.14100/2eb5bfb9-4c11-3bf5-b56e-ae1450224a49,hdl:21.14100/8cc43a47-c190-4cd6-a1c3-7a079f22f423,5,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710,CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-LR/ssp245,/perm_storage/home/data/CMIP6_data/MPI-ESM1-2-LR/ssp245/CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190710.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.CMCC.CMCC-ESM2.ssp245.r1i1p1f1.Omon.intpp.gn.v20210129.intpp_Omon_CMCC-ESM2_ssp245_r1i1p1f1_gn_201501-210012.nc|esgf-node2.cmcc.it,CMIP6.ScenarioMIP.CMCC.CMCC-ESM2.ssp245.r1i1p1f1.Omon.intpp.gn.v20210129|esgf-node2.cmcc.it,CMIP6,ScenarioMIP,CMCC,CMCC-ESM2,ssp245,r1i1p1f1,Omon,mon,gn,20210129,100 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,220755260,esgf-node2.cmcc.it,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp245/r1i1p1f1/Omon/intpp/gn/v20210129/intpp_Omon_CMCC-ESM2_ssp245_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/bd96be26-0fea-3d76-982b-8a936037ba77,hdl:21.14100/4eeebe3a-8394-4dad-9caa-54fdc6348c3a,1,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.CMCC.CMCC-ESM2.ssp245.r1i1p1f1.Omon.intpp.gn.v20210129,CMIP6.ScenarioMIP.CMCC.CMCC-ESM2.ssp245.r1i1p1f1.Omon.intpp.gn.v20210129.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/CMCC-ESM2/ssp245,/perm_storage/home/data/CMIP6_data/CMCC-ESM2/ssp245/CMIP6.ScenarioMIP.CMCC.CMCC-ESM2.ssp245.r1i1p1f1.Omon.intpp.gn.v20210129.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190119.intpp_Omon_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_201501-210012.nc|vesg.ipsl.upmc.fr,CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190119|vesg.ipsl.upmc.fr,CMIP6,ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp245,r1i1p1f1,Omon,mon,gn,20190119,100 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,220531543,vesg.ipsl.upmc.fr,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/Omon/intpp/gn/v20190119/intpp_Omon_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/5d56e0db-3bef-305b-82b9-e76a81422db4,hdl:21.14100/7cd45b23-593a-4d91-9bf6-2f828d31ec26,1,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190119,CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190119.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/IPSL-CM6A-LR/ssp245,/perm_storage/home/data/CMIP6_data/IPSL-CM6A-LR/ssp245/CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245.r1i1p1f1.Omon.intpp.gn.v20190119.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113.intpp_Omon_EC-Earth3-CC_ssp245_r1i1p1f1_gn_201501-201512.nc|esgf.bsc.es,CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113|esgf.bsc.es,CMIP6,ScenarioMIP,EC-Earth-Consortium,EC-Earth3-CC,ssp245,r1i1p1f1,Omon,mon,gn,20210113,100 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2015-12-01T00:00:00Z,4488647,esgf.bsc.es,http://esgf.bsc.es/thredds/fileServer/esg_dataroot/a3dn-ScenarioMIP-r1/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-CC/ssp245/r1i1p1f1/Omon/intpp/gn/v20210113/intpp_Omon_EC-Earth3-CC_ssp245_r1i1p1f1_gn_201501-201512.nc,hdl:21.14100/7f24a785-b992-392a-b3bd-e7eae84247bd,hdl:21.14100/da1cdbee-6ea4-4230-984c-036d929e7a70,86,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113,CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/EC-Earth3-CC/ssp245,/perm_storage/home/data/CMIP6_data/EC-Earth3-CC/ssp245/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113.2015-2024_2091-2100.nc
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113.intpp_Omon_EC-Earth3-CC_ssp245_r1i1p1f1_gn_201601-201612.nc|esgf.bsc.es,CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113|esgf.bsc.es,CMIP6,ScenarioMIP,EC-Earth-Consortium,EC-Earth3-CC,ssp245,r1i1p1f1,Omon,mon,gn,20210113,100 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2016-01-01T00:00:00Z,2016-12-01T00:00:00Z,4489115,esgf.bsc.es,http://esgf.bsc.es/thredds/fileServer/esg_dataroot/a3dn-ScenarioMIP-r1/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-CC/ssp245/r1i1p1f1/Omon/intpp/gn/v20210113/intpp_Omon_EC-Earth3-CC_ssp245_r1i1p1f1_gn_201601-201612.nc,hdl:21.14100/7f24a785-b992-392a-b3bd-e7eae84247bd,hdl:21.14100/99bf1a03-d4a3-4495-98d4-611689e805c8,86,2015,2024,2100,2091,TRUE,CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113,CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/EC-Earth3-CC/ssp245,/perm_storage/home/data/CMIP6_data/EC-Earth3-CC/ssp245/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-CC.ssp245.r1i1p1f1.Omon.intpp.gn.v20210113.2015-2024_2091-2100.nc
